M,Ms,Ps,Da
683,67.811347,0.099285,11342.978195506903
684,67.723215,0.099011,11349.600642636324
685,67.635429,0.098738,11356.209306941106
686,67.54799,0.098466,11362.803753167924
687,67.460895,0.098196,11369.38421833736
688,67.374142,0.097928,11375.950773809647
689,67.287731,0.09766,11382.503154555256
690,67.201659,0.097394,11389.041603399053
691,67.115925,0.097129,11395.566026790064
692,67.030528,0.096865,11402.076331875453
693,66.945466,0.096602,11408.572596924467
694,66.860737,0.096341,11415.054902172078
695,66.776341,0.096081,11421.522987741244
696,66.692275,0.095822,11427.97710729343
697,66.608538,0.095565,11434.417174390786
698,66.525128,0.095308,11440.84327531334
699,66.442045,0.095053,11447.255153756236
700,66.359286,0.094799,11453.653070724631
701,66.276851,0.094546,11460.036771739158
702,66.194737,0.094294,11466.40652151071
703,66.112943,0.094044,11472.762240943166
704,66.031468,0.093795,11479.103851719045
705,65.950311,0.093547,11485.43127630651
706,65.869469,0.0933,11491.744786890973
707,65.788942,0.093054,11498.04413461649
708,65.708728,0.092809,11504.329420355032
709,65.628825,0.092565,11510.60074702434
710,65.549233,0.092323,11516.857868195919
711,65.469949,0.092082,11523.101065047045
712,65.390973,0.091841,11529.330093104847
713,65.312303,0.091602,11535.545060740273
714,65.233938,0.091364,11541.745901463972
715,65.155875,0.091127,11547.932904101193
716,65.078115,0.090891,11554.10565061151
717,65.000655,0.090656,11560.26443274966
718,64.923494,0.090423,11566.409189271237
719,64.846631,0.09019,11572.53985979556
720,64.770064,0.089958,11578.656563576986
721,64.693793,0.089728,11584.759063824078
722,64.617815,0.089498,11590.8476615314
723,64.542129,0.08927,11596.922301655675
724,64.466734,0.089042,11602.98293004153
725,64.39163,0.088816,11609.029313138952
726,64.316813,0.088591,11615.06193944788
727,64.242284,0.088366,11621.080397539343
728,64.16804,0.088143,11627.084999256145
729,64.094081,0.087921,11633.075515275375
730,64.020405,0.087699,11639.052079584648
731,63.947011,0.087479,11645.014646196858
732,63.873898,0.087259,11650.963170049612
733,63.801063,0.087041,11656.897972423832
734,63.728507,0.086824,11662.818645910434
735,63.656228,0.086607,11668.725331555765
736,63.584224,0.086392,11674.618172550454
737,63.512494,0.086177,11680.497130321926
738,63.441038,0.085963,11686.361983037465
739,63.369853,0.085751,11692.21306214227
740,63.298939,0.085539,11698.050148012333
741,63.228294,0.085328,11703.873390998137
742,63.157917,0.085118,11709.682758204875
743,63.087806,0.08491,11715.47840340585
744,63.017962,0.084702,11721.2599245394
745,62.948382,0.084494,11727.027663322617
746,62.879065,0.084288,11732.78159164272
747,62.81001,0.084083,11738.521682367289
748,62.741215,0.083879,11744.2480965335
749,62.672681,0.083675,11749.960434905468
